Nachname;Vorname;Geburtsdatum;Geburtsort;Sterbedatum;Geschlecht;Partei;Familienstand;Religion;Beruf;md_start;md_end
Lindholz;Andrea;25.09.1970;Bonn;None;weiblich;CSU;verheiratet, 1 Kind;römisch-katholisch;Rechtsanwältin;24.10.2017;None
Lotze;Hiltrud;13.11.1958;Bauhaus;None;weiblich;SPD;verheiratet;evangelisch;Kulturwissenschaftlerin;24.11.2020;None
Magwas;Yvonne;28.11.1979;Rodewisch;None;weiblich;CDU;{'-self-closing': 'true'};römisch-katholisch;Diplom-Soziologin;24.10.2017;None
Manderla;Gisela;11.02.1958;Düsseldorf;None;weiblich;CDU;verheiratet, 3 Kinder;katholisch;selbstständig im Ingenierbüro Manderla;05.11.2018;None
Marschall;Matern;03.08.1962;Freiburg im Breisgau;None;männlich;CDU;verheiratet, 2 Kinder;römisch-katholisch;Verleger;24.10.2017;None
Metzler;Jan;05.07.1981;Worms;None;männlich;CDU;ledig;evangelisch;Winzer, Diplom-Betriebswirt (FH);24.10.2017;None
Mihalic;Irene;17.11.1976;Waldbröl;None;weiblich;BÜNDNIS 90/DIE GRÜNEN;2 Kinder;ohne Angaben;Polizeibeamtin;24.10.2017;None
Mindrup;Klaus;16.05.1964;Lienen;None;männlich;SPD;geschieden;{'-self-closing': 'true'};freiberuflicher Gutachter und Entwickler (Diplom-Biologe);24.10.2017;None
Mittag;Susanne;25.07.1958;Cleveland, USA;None;weiblich;SPD;1 Kind;{'-self-closing': 'true'};Polizeibeamtin;24.10.2017;None
Möring;Karsten;30.08.1949;Schneverdingen;None;männlich;CDU;verheiratet, 1 Kind;evangelisch;Schulleiter;24.10.2017;None
Motschmann;Elisabeth;13.10.1952;Lübeck;None;weiblich;CDU;verheiratet, 3 Kinder;evangelisch-lutherisch;Staatsrätin a.D.;24.10.2017;None
Müller;Bettina;07.06.1959;Alzenau-Wasserlos;None;weiblich;SPD;2 Kinder;{'-self-closing': 'true'};Rechtsanwältin, Krankenschwester;24.10.2017;None
Müntefering;Michelle;09.04.1980;Herne;None;weiblich;SPD;verheiratet;evangelisch-lutherisch;Journalistin, Staatsministerin;24.10.2017;None
Neu;Alexander S.;19.03.1969;Harmonie (jetzt Eitorf);None;männlich;DIE LINKE.;verheiratet, 2 Kinder;{'-self-closing': 'true'};Angestellter;24.10.2017;None
Nick;Andreas;26.04.1967;Koblenz-Moselweiß;None;männlich;CDU;verheiratet, 2 Kinder;römisch-katholisch;Hochschullehrer, Dipl.-Kaufmann, M.I.P.P.;24.10.2017;None
Nissen;Ulli;16.06.1959;Essen;None;weiblich;SPD;verheiratet, 2 Kinder;konfessionslos;Bankkauffrau;24.10.2017;None
Oellers;Wilfried;16.09.1975;Mönchengladbach;None;männlich;CDU;verheiratet, 2 Kinder;römisch-katholisch;Rechtsanwalt;24.10.2017;None
Oßner;Florian;05.07.1980;Vilsbiburg;None;männlich;CSU;verheiratet, 1 Kind;römisch-katholisch;Dipl.-Volkswirt (Uni), Kreditanalyst im Risikomanagement;24.10.2017;None
Özdemir;Mahmut;23.06.1987;Duisburg;None;männlich;SPD;{'-self-closing': 'true'};{'-self-closing': 'true'};Rechtsreferendar;24.10.2017;None
Pahlmann;Ingrid;01.12.1957;Gifhorn;None;weiblich;CDU;verheiratet, 3 Kinder;evangelisch-lutherisch;Hauswirtschaftsleiterin;01.08.2019;None
Pantel;Sylvia;01.01.1961;Düsseldorf;None;weiblich;CDU;verheiratet, 5 Kinder;römisch-katholisch;ohne Angaben;24.10.2017;None
Paschke;Markus;08.06.1963;Bremen;None;männlich;SPD;verheiratet;ohne Angaben;Gewerkschaftssekretär;04.11.2019;None
Patzelt;Martin;23.07.1947;Frankfurt (Oder);None;männlich;CDU;verheiratet, 5 Kinder;römisch-katholisch;Diplom Sozialpädagoge/Sozialarbeiter;24.10.2017;None
Pilger;Detlev;29.04.1955;Koblenz;None;männlich;SPD;verheiratet, 1 Kind;katholisch;Dipl.-Religionspädagoge;24.10.2017;None
Poschmann;Sabine;04.10.1968;Castrop-Rauxel;None;weiblich;SPD;verheiratet, 1 Kind;ohne Angaben;Regionalmanagerin;24.10.2017;None
Post;Achim;02.05.1959;Rahden / Minden-Lübbecke;None;männlich;SPD;verheiratet, 2 Kinder;evangelisch;Diplom-Soziologe;24.10.2017;None
Post;Florian;27.05.1981;Neustadt a.d. Waldnaab;None;männlich;SPD;ledig;römisch-katholisch;Diplom-Kaufmann (Univ.);24.10.2017;None
Rabanus;Martin;02.09.1971;Fulda;None;männlich;SPD;verheiratet, 2 Kinder;römisch-katholisch;Regierungsdirektor;24.10.2017;None
Radomski;Kerstin;01.11.1974;Krefeld-Hüls;None;weiblich;CDU;2 Kinder;{'-self-closing': 'true'};Studienrätin;24.10.2017;None
Radwan;Alexander;30.08.1964;München;None;männlich;CSU;ledig;römisch-katholisch;Rechtsanwalt, Diplom-Ingenieur(FH);24.10.2017;None
Rainer;Alois;07.01.1965;Straubing;None;männlich;CSU;verheiratet, 2 Kinder;römisch-katholisch;Bürgermeister a. D., Metzgermeister;24.10.2017;None
Renner;Martina;11.03.1967;Mainz;None;weiblich;DIE LINKE.;verheiratet, 2 Kinder;konfessionslos;Wissenschaftliche Mitarbeiterin;24.10.2017;None
De Ridder;Daniela;27.11.1962;Kiel;None;weiblich;SPD;verheiratet, 2 Kinder;evangelisch;Unternehmensberaterin;24.10.2017;None
Rimkus;Andreas;24.12.1962;Düsseldorf;None;männlich;SPD;verheiratet, 2 Kinder;römisch-katholisch;Elektromeister in der Energiewirtschaft;24.10.2017;None
Rohde;Dennis;24.06.1986;Oldenburg (Oldenburg);None;männlich;SPD;ledig;ohne Angaben;Rechtsanwalt;24.10.2017;None
