Nachname;Vorname;Geburtsdatum;Geburtsort;Sterbedatum;Geschlecht;Partei;Familienstand;Religion;Beruf;md_start;md_end
Schwabe;Frank;12.11.1970;Waltrop;None;männlich;SPD;verheiratet, 3 Kinder;evangelisch;Gästeführer;24.10.2017;None
Schwarzelühr-Sutter;Rita;13.10.1962;Waldshut;None;weiblich;SPD;verheiratet, 2 Kinder;römisch-katholisch;Dipl.-Betriebswirtin, Parl. Staatssekretärin;24.10.2017;None
Sitte;Petra;01.12.1960;Dresden;None;weiblich;DIE LINKE.;ledig;ohne Angaben;Dipl.-Volkswirtin;24.10.2017;None
Tackmann;Kirsten;24.09.1960;Schmalkalden / Thüringen;None;weiblich;DIE LINKE.;verheiratet, 2 Kinder;ohne Angaben;Veterinärmedizinerin, Chemielaborantin, Wiss. Mitarbeiterin;24.10.2017;None
Toncar;Florian;18.10.1979;Hamburg;None;männlich;FDP;verheiratet, 3 Kinder;evangelisch;Rechtsanwalt;24.10.2017;None
Troost;Axel;01.09.1954;Hagen / Westfalen;None;männlich;DIE LINKE.;verheiratet, 2 Kinder;ohne Angaben;Geschäftsführer;16.02.2021;None
Ulrich;Alexander;11.02.1971;Krusel;None;männlich;DIE LINKE.;verheiratet, 2 Kinder;evangelisch;Gewerkschaftssekretär, ehrenamtl. Arbeitsrichter;24.10.2017;None
Wegner;Kai;15.09.1972;Berlin;None;männlich;CDU;verheiratet, 2 Kinder;evangelisch;Versicherungskaufmann;24.10.2017;None
Weinberg;Marcus;04.06.1967;Hamburg;None;männlich;CDU;ledig;evangelisch;Lehrer;24.10.2017;None
Winkelmeier-Becker;Elisabeth;15.09.1962;Troisdorf;None;weiblich;CDU;verheiratet, 3 Kinder;römisch-katholisch;Richterin am Amtsgericht a. D., Parl. Staatssekretärin;24.10.2017;None
Zimmermann;Sabine;30.12.1960;Pasewalk;None;weiblich;DIE LINKE.;verheiratet, 2 Kinder;ohne Angaben;Baustofftechnologin;24.10.2017;None
Nouripour;Omid;18.06.1975;Teheran;None;männlich;BÜNDNIS 90/DIE GRÜNEN;ledig;{'-self-closing': 'true'};Selbständig;24.10.2017;None
Strengmann-Kuhn;Wolfgang;20.05.1964;Dinslaken;None;männlich;BÜNDNIS 90/DIE GRÜNEN;verheiratet, 2 Kinder;ohne Angaben;Volkswirt;24.10.2017;None
Sarrazin;Manuel;06.02.1982;Dortmund;None;männlich;BÜNDNIS 90/DIE GRÜNEN;1 Kind;{'-self-closing': 'true'};Historiker;24.10.2017;None
Hirte;Christian;23.05.1976;Bad Salzungen;None;männlich;CDU;verheiratet, 3 Kinder;römisch-katholisch;Rechtsanwalt und Fachanwalt für Steuerrecht;24.10.2017;None
Högl;Eva;06.01.1969;Osnabrück;None;weiblich;SPD;verheiratet;evangelisch-lutherisch;Juristin;24.10.2017;None
Aschenberg-Dugnus;Christine;22.09.1959;Eppstein / Ts.;None;weiblich;FDP;verheiratet, 1 Kind;ohne Angaben;Rechtsanwältin;24.10.2017;None
Aumer;Peter;17.04.1976;Regensburg;None;männlich;CSU;ledig;römisch-katholisch;Dipl.-Betriebswirt (FH);24.10.2017;None
Bas;Bärbel;03.05.1968;Walsum (jetzt Duisburg);None;weiblich;SPD;verheiratet;{'-self-closing': 'true'};Personalmanagementökonomin (VWA);24.10.2017;None
Behrens;Manfred;28.10.1956;Magdeburg;None;männlich;CDU;verheiratet, 2 Kinder;{'-self-closing': 'true'};Verwaltungsvollzugsbeamter, Ortsbürgermeister;24.10.2017;None
Beyer;Peter;25.12.1970;Ratingen;None;männlich;CDU;2 Kinder;römisch-katholisch;Rechtsanwalt, Fachanwalt für gewerblichen Rechtsschutz;24.10.2017;None
Bilger;Steffen;16.02.1979;Schongau;None;männlich;CDU;verheiratet, 1 Kind;evangelisch;Rechtsanwalt, Parl. Staatssekretär;24.10.2017;None
Birkwald;Matthias W.;28.09.1961;Münster;None;männlich;DIE LINKE.;ledig;{'-self-closing': 'true'};Diplom-Sozialwissenschaftler;24.10.2017;None
Brackmann;Norbert;30.08.1954;Lauenburg/Elbe;None;männlich;CDU;verheiratet, 2 Kinder;römisch-katholisch;Jurist;24.10.2017;None
Brandl;Reinhard;01.08.1977;Ingolstadt;None;männlich;CSU;ledig;{'-self-closing': 'true'};Diplom-Wirtschaftsingenieur;24.10.2017;None
Brehmer;Heike;05.11.1962;Staßfurt;None;weiblich;CDU;2 Kinder;{'-self-closing': 'true'};Diplom-Betriebswirtin (FH);24.10.2017;None
Brinkhaus;Ralph;15.06.1968;Wiedenbrück;None;männlich;CDU;verheiratet;römisch-katholisch;Steuerberater;24.10.2017;None
Buchholz;Christine;02.04.1971;Hamburg;None;weiblich;DIE LINKE.;verheiratet, 2 Kinder;{'-self-closing': 'true'};freiberufliche Redakteurin, wissenschaftliche Mitarbeiterin;24.10.2017;None
Buschmann;Marco;01.08.1977;Gelsenkirchen;None;männlich;FDP;verheiratet;römisch-katholisch;Volljurist;24.10.2017;None
Djir-Sarai;Bijan;06.06.1976;Teheran/Iran;None;männlich;FDP;ledig;ohne Angaben;Diplom-Kaufmann;24.10.2017;None
Dörner;Katja;18.02.1976;Siegen;None;weiblich;BÜNDNIS 90/DIE GRÜNEN;verheiratet, 1 Kind;{'-self-closing': 'true'};Wissenschaftliche Referentin;24.10.2017;None
Franke;Edgar;21.01.1960;Gudensberg;None;männlich;SPD;verheiratet, 2 Kinder;{'-self-closing': 'true'};Professor, Bürgermeister a. D., Jurist;24.10.2017;None
Frieser;Michael;30.03.1964;Nürnberg;None;männlich;CSU;verheiratet;{'-self-closing': 'true'};Rechtsanwalt;24.10.2017;None
Gädechens;Ingo;30.07.1960;Lübeck;None;männlich;CDU;verheiratet;evangelisch-lutherisch;Berufssoldat;24.10.2017;None
Gebhart;Thomas;20.12.1971;Kandel;None;männlich;CDU;verheiratet, 1 Kind;römisch-katholisch;Betriebswirt, Politikwissenschaftler (M.A.), Parl. Staatssekretär;24.10.2017;None
Gerdes;Michael;23.05.1960;Bottrop;None;männlich;SPD;verheiratet, 3 Kinder;{'-self-closing': 'true'};Bergmann, Elektrohauer;24.10.2017;None
Gerig;Alois;30.01.1956;Höpfingen;None;männlich;CDU;verheiratet, 3 Kinder;römisch-katholisch;Geschäftsführer, Landwirtschaftsmeister;24.10.2017;None
Gohlke;Nicole;15.11.1975;München;None;weiblich;DIE LINKE.;verheiratet;konfessionslos;Kommunikationswissenschaftlerin M.A.;24.10.2017;None
Groß;Michael;26.07.1956;Marl;None;männlich;SPD;verheiratet, 2 Kinder;{'-self-closing': 'true'};Geschäftsbereichsleiter;24.10.2017;None
Grotelüschen;Astrid;09.12.1964;Köln;None;weiblich;CDU;verheiratet, 3 Kinder;katholisch;Diplom-Oecotrophologin, Geschäftsführerin, Landesministerin a. D.;24.10.2017;None
Hahn;Florian;14.03.1974;München;None;männlich;CSU;verheiratet, 2 Kinder;evangelisch;Diplom  Marketing Fachwirt  (BAW);24.10.2017;None
Harbarth;Stephan;19.12.1971;Heidelberg;None;männlich;CDU;verheiratet, 3 Kinder;römisch-katholisch;Rechtsanwalt;24.10.2017;None
Hardt;Jürgen;30.05.1963;Hofheim am Taunus;None;männlich;CDU;verheiratet, 1 Kind;evangelisch;Dipl.-Volkswirt, Leitender Angestellter;24.10.2017;None
Heider;Matthias;18.05.1966;Lüdenscheid;None;männlich;CDU;verheiratet, 1 Kind;katholisch;Rechtsanwalt;24.10.2017;None
Heil;Mechthild;23.08.1961;Andernach;None;weiblich;CDU;verheiratet, 3 Kinder;römisch-katholisch;Ingenieurin, selbstständige Architektin;24.10.2017;None
Heinrich;Frank;25.01.1964;Siegen;None;männlich;CDU;verheiratet, 4 Kinder;{'-self-closing': 'true'};Sozialarbeiter, Theologe;24.10.2017;None
Henke;Rudolf;05.06.1954;Düren;None;männlich;CDU;verheiratet, 4 Kinder;römisch-katholisch;Arzt;24.10.2017;None
Heveling;Ansgar;03.07.1972;Rheydt (jetzt Mönchengladbach);None;männlich;CDU;verheiratet, 1 Kind;römisch-katholisch;Oberregierungsrat a. D.;24.10.2017;None
Höferlin;Manuel;06.02.1973;Paris;None;männlich;FDP;verheiratet, 3 Kinder;römisch-katholisch;Selbstständiger Unternehmer;24.10.2017;None
Holmeier;Karl;10.09.1956;Weiding;None;männlich;CSU;verheiratet, 3 Kinder;{'-self-closing': 'true'};Erster Bürgermeister a. D., Bankkaufmann;24.10.2017;None
Hunko;Andrej;29.09.1963;München;None;männlich;DIE LINKE.;{'-self-closing': 'true'};{'-self-closing': 'true'};Angestellter;24.10.2017;None
Jarzombek;Thomas;28.04.1973;Düsseldorf;None;männlich;CDU;verheiratet, 1 Kind;{'-self-closing': 'true'};IT-Berater;24.10.2017;None
Kaczmarek;Oliver;08.08.1970;Kamen;None;männlich;SPD;ledig, 1 Kind;evangelisch;Oberregierungsrat;24.10.2017;None
Kaufmann;Stefan;21.08.1969;Stuttgart;None;männlich;CDU;eingetragene Lebenspartnerschaft;römisch-katholisch;Rechtsanwalt;24.10.2017;None
Kekeritz;Uwe;09.10.1953;Mittelberg;None;männlich;BÜNDNIS 90/DIE GRÜNEN;2 Kinder;konfessionslos;Diplom-Volkswirt (Universität);24.10.2017;None
Keul;Katja;30.11.1969;Berlin;None;weiblich;BÜNDNIS 90/DIE GRÜNEN;verheiratet, 3 Kinder;{'-self-closing': 'true'};Rechtsanwältin;24.10.2017;None
Kiesewetter;Roderich;11.09.1963;Pfullendorf;None;männlich;CDU;verheiratet, 2 Kinder;evangelisch;Diplom-Kaufmann, Oberst a. D.;24.10.2017;None
Kindler;Sven-Christian;14.02.1985;Hannover;None;männlich;BÜNDNIS 90/DIE GRÜNEN;verheiratet, 2 Kinder;{'-self-closing': 'true'};Betriebswirt;24.10.2017;None
Klein;Volkmar;13.01.1960;Siegen;None;männlich;CDU;verheiratet, 4 Kinder;evangelisch;Diplom-Volkswirt;24.10.2017;None
Klein-Schmeink;Maria;06.01.1958;Dingen (jetzt Hamminken);None;weiblich;BÜNDNIS 90/DIE GRÜNEN;verheiratet, 1 Kind;ohne Angaben;Soziologin;24.10.2017;None
Knoerig;Axel;01.03.1967;Bassum;None;männlich;CDU;verheiratet, 1 Kind;{'-self-closing': 'true'};Marketingfachmann;24.10.2017;None
Kober;Pascal;03.07.1971;Sindelfingen;None;männlich;FDP;ledig;evangelisch-lutherisch;Dipl.-Theologe;24.10.2017;None
Kolbe;Daniela;22.02.1980;Schleiz;None;weiblich;SPD;ledig, 1 Kind;{'-self-closing': 'true'};Diplom-Physikerin;24.10.2017;None
Krellmann;Jutta;07.01.1956;Johannisberg;None;weiblich;DIE LINKE.;{'-self-closing': 'true'};{'-self-closing': 'true'};Gewerkschaftssekretärin;24.10.2017;None
Krischer;Oliver;26.07.1969;Zülpich;None;männlich;BÜNDNIS 90/DIE GRÜNEN;verheiratet, 2 Kinder;{'-self-closing': 'true'};Wissenschaftlicher Mitarbeiter;24.10.2017;None
Kruse;Rüdiger;10.06.1961;Hamburg;None;männlich;CDU;ledig;{'-self-closing': 'true'};Geschäftsführer;24.10.2017;None
Kühn;Stephan;06.09.1979;Dresden;None;männlich;BÜNDNIS 90/DIE GRÜNEN;ledig;{'-self-closing': 'true'};Diplom-Soziologe;24.10.2017;None
Lange;Ulrich;06.06.1969;Meran ( Südtirol );None;männlich;CSU;verheiratet, 2 Kinder;katholisch;Rechtsanwalt;24.10.2017;None
Lay;Caren;11.12.1972;Neuwied;None;weiblich;DIE LINKE.;{'-self-closing': 'true'};{'-self-closing': 'true'};Diplom-Soziologin;24.10.2017;None
Leidig;Sabine;07.08.1961;Heidelberg;None;weiblich;DIE LINKE.;verheiratet, 1 Kind;{'-self-closing': 'true'};Geschäftsführerin;24.10.2017;None
Lenkert;Ralph;09.05.1967;Apolda;None;männlich;DIE LINKE.;{'-self-closing': 'true'};{'-self-closing': 'true'};Werkzeugmacher, staatlich geprüfter Techniker für Maschinenbau;24.10.2017;None
Leyen;Ursula;08.10.1958;Brüssel;None;weiblich;CDU;verheiratet, 7 Kinder;{'-self-closing': 'true'};Ärztin, Bundesministerin a. D., Präsidentin der Europäischen Kommission;24.10.2017;None
Liebich;Stefan;30.12.1972;Wismar;None;männlich;DIE LINKE.;geschieden;konfessionslos;Diplom-Betriebswirt;24.10.2017;None
Lindner;Christian;07.01.1979;Wuppertal;None;männlich;FDP;geschieden;katholisch;Politikwissenschaftler;24.10.2017;None
Linnemann;Carsten;10.08.1977;Paderborn;None;männlich;CDU;verheiratet;katholisch;Diplom-Volkswirt;24.10.2017;None
Lischka;Burkhard;01.02.1965;Marsberg;None;männlich;SPD;verheiratet, 2 Kinder;evangelisch;Notar, Sprecher für Recht und Verbraucherschutz, Obmann im Parlamentarischen Kontrollgremium, Staatssekretär a. D.;24.10.2017;None
