partei_id;Name;Vorname;vote
AfD;Malsack-Winkemann;Birgit;1
AfD;Miazga;Corinna;1
AfD;Mrosek;Andreas;1
AfD;Müller;Hansjörg;1
AfD;Münz;Volker;1
AfD;Münzenmaier;Sebastian;1
AfD;Neumann;Christoph;1
AfD;Nolte;Jan Ralf;1
AfD;Oehme;Ulrich;1
AfD;Otten;Gerold;1
AfD;Pasemann;Frank;1
AfD;Peterka;Tobias Matthias;1
AfD;Podolay;Paul Viktor;1
AfD;Pohl;Jürgen;1
AfD;Protschka;Stephan;4
AfD;Reichardt;Martin;4
AfD;Renner;Martin Erwin;1
AfD;Reusch;Roman Johannes;1
AfD;Schielke-Ziesing;Ulrike;1
AfD;Schlund;Robby;1
AfD;Schneider;Jörg;4
AfD;Schulz;Uwe;1
AfD;Seitz;Thomas;1
AfD;Sichert;Martin;1
AfD;Spangenberg;Detlev;1
AfD;Spaniel;Dirk;1
AfD;Springer;René;1
AfD;Storch;Beatrix;1
AfD;Weidel;Alice;4
AfD;Weyel;Harald;1
AfD;Wiehle;Wolfgang;1
AfD;Wildberg;Heiko;1
AfD;Wirth;Christian;1
AfD;Witt;Uwe;4
FDP;Aggelidis;Grigorios;1
FDP;Alt;Renata;1
FDP;Aschenberg-Dugnus;Christine;1
FDP;Bauer;Nicole;4
FDP;Beeck;Jens;1
FDP;Brandenburg;Jens;1
FDP;Brandenburg;Mario;1
FDP;Bubendorfer-Licht;Sandra;1
FDP;Buschmann;Marco;1
FDP;Busen;Karlheinz;1
FDP;Cronenberg;Carl-Julius;1
FDP;Dassler;Britta Katharina;1
FDP;Djir-Sarai;Bijan;1
FDP;Dürr;Christian;1
FDP;Ebbing;Hartmut;1
FDP;Faber;Marcus;1
FDP;Föst;Daniel;4
FDP;Fricke;Otto;1
FDP;Hacker;Thomas;1
FDP;Hanke;Reginald;1
FDP;Heidt;Peter;1
FDP;Helling-Plahr;Katrin;4
FDP;Herbrand;Markus;1
FDP;Herbst;Torsten;1
FDP;Hessel;Katja;1
FDP;Hocker;Gero Clemens;1
FDP;Höferlin;Manuel;1
FDP;Hoffmann;Christoph;4
FDP;Houben;Reinhard;1
FDP;Ihnen;Ulla;1
FDP;In der Beek;Olaf;1
FDP;Jensen;Gyde;4
FDP;Jung;Christian;1
FDP;Klein;Karsten;1
FDP;Klinge;Marcel;1
FDP;Kluckert;Daniela;1
FDP;Kober;Pascal;1
FDP;Köhler;Lukas;1
FDP;Konrad;Carina;4
FDP;Kubicki;Wolfgang;4
FDP;Kuhle;Konstantin;1
FDP;Kulitz;Alexander;1
FDP;Lambsdorff;Alexander;1
FDP;Lechte;Ulrich;1
FDP;Lindner;Christian;4
FDP;Link;Michael Georg;1
FDP;Luksic;Oliver;1
FDP;Mansmann;Till;1
FDP;Martens;Jürgen;1
FDP;Meyer;Christoph;4
FDP;Müller;Alexander;1
FDP;Müller-Böhm;Roman;4
FDP;Müller-Rosentritt;Frank;1
FDP;Neumann;Martin;1
FDP;Reinhold;Hagen;1
FDP;Reuther;Bernd;1
FDP;Ruppert;Stefan;1
FDP;Sattelberger;Thomas;1
FDP;Sauter;Christian;1
FDP;Schäffler;Frank;1
FDP;Schinnenburg;Wieland;1
FDP;Seestern-Pauly;Matthias;1
FDP;Sitta;Frank;1
FDP;Skudelny;Judith;1
FDP;Solms;Hermann Otto;4
FDP;Stark-Watzinger;Bettina;1
FDP;Strack-Zimmermann;Marie-Agnes;1
FDP;Strasser;Benjamin;1
FDP;Suding;Katja;1
FDP;Teuteberg;Linda;1
FDP;Theurer;Michael;1
FDP;Thomae;Stephan;1
FDP;Todtenhausen;Manfred;1
FDP;Toncar;Florian;1
FDP;Ullmann;Andrew;1
FDP;Ullrich;Gerald;1
FDP;Vogel;Johannes;1
FDP;Weeser;Sandra;1
FDP;Westig;Nicole;1
